Regiões,População
População por região - Sul (2010),233.536
População por região - Leste (2010),160.990
População por região - Norte (2010),59.800
População por região - Sudeste (2010),45.800
População por região - Centro (2010),72.115
População por região - Oeste (2010),41.163
População por região - Rural (2010),15.175
