Regiao,Populacao_2010,Populacao_2022,Crescimento_Absoluto,Crescimento_Percentual,Domicilios_2022
Sul,233463,237572,4109,1.77,91878
Leste,164034,181463,17429,10.62,67234
Centro,68584,72401,3817,5.57,28456
Oeste,41161,64482,23321,56.65,24892
Sudeste,45815,62541,16726,36.55,23104
Norte,59011,61780,2769,4.69,22816
Sao_Francisco_Xavier,1380,1443,63,4.57,580
