Ano,Total,Tipo,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 a 84 anos,85 a 89 anos,90 a 94 anos,95 a 99 anos,100 anos ou mais
2022,1589875,Total ,90757,102257,100330,101418,111897,114461,121457,130967,134623,112171,102659,95571,85101,69441,50922,32111,18646,9683,4179,1066,158
2022,769963,Homens,46314,52192,51155,51803,56706,56990,59593,63301,65006,53684,48914,44312,38631,31688,22960,14063,7536,3471,1305,307,32
2022,819912,Mulheres,44443,50065,49175,49615,55191,57471,61864,67666,69617,58487,53745,51259,46470,37753,27962,18048,11110,6212,2874,759,126
